,mean_oil_temp,mean_bearing_temp,mean_vibration,operating_hours,TAN,water_pct,impurities_pct,flash_point_C
mean_oil_temp,1.0,0.9981912003272627,0.7291915968334922,0.20610729793848528,0.30909300748367835,0.7648696583277076,0.3830560564123866,-0.3000946787934415
mean_bearing_temp,0.9981912003272627,1.0,0.7323113328578889,0.20967896821439128,0.3115272537571646,0.7603226274723278,0.38440679553644924,-0.30087396843644765
mean_vibration,0.7291915968334922,0.7323113328578889,1.0,0.6695650411767844,0.7210761182813105,0.7189248551439061,0.7638997012035061,-0.7024834776333403
operating_hours,0.20610729793848528,0.20967896821439128,0.6695650411767844,1.0,0.9918138543684561,0.5412399882100684,0.9715301425982661,-0.9634633786492536
TAN,0.30909300748367835,0.3115272537571646,0.7210761182813105,0.9918138543684561,1.0,0.6096889200189682,0.9881957998928138,-0.9744438218931032
water_pct,0.7648696583277076,0.7603226274723278,0.7189248551439061,0.5412399882100684,0.6096889200189682,1.0,0.6575048812674317,-0.6402367693287134
impurities_pct,0.3830560564123866,0.38440679553644924,0.7638997012035061,0.9715301425982661,0.9881957998928138,0.6575048812674317,1.0,-0.9678285473354076
flash_point_C,-0.3000946787934415,-0.30087396843644765,-0.7024834776333403,-0.9634633786492536,-0.9744438218931032,-0.6402367693287134,-0.9678285473354076,1.0
