PumpId,CurrentDate,RulWarningMonths,RulCriticalMonths,RulWarningYears,RulCriticalYears,ReplacementDateWarning,ReplacementDateCritical,LimitingParamWarning,LimitingParamCritical,OperatingHoursAtCalculation,PlanReplaceDate
1,2026-04-03 12:55:00.119891+00:00,16,18,1.33,1.5,2027-07-27 12:55:00.119891+00:00,2027-09-25 12:55:00.119891+00:00,ImpuritiesPct,ImpuritiesPct,14254,2027-07-25 21:00:00+00:00
2,2026-04-12 21:11:22.221176+00:00,15,17,1.25,1.42,2027-07-06 21:11:22.221176+00:00,2027-09-04 21:11:22.221176+00:00,ImpuritiesPct,ImpuritiesPct,15000,2027-07-25 21:00:00+00:00
