PumpId,CurrentDate,RulWarningMonths,RulCriticalMonths,RulWarningYears,RulCriticalYears,ReplacementDateWarning,ReplacementDateCritical,LimitingParamWarning,LimitingParamCritical,OperatingHoursAtCalculation,PlanReplaceDate
1,2026-06-03 11:46:11.309483+00:00,15,17,1.25,1.42,2027-08-27 11:46:11.309483+00:00,2027-10-26 11:46:11.309483+00:00,ImpuritiesPct,ImpuritiesPct,14254,2027-07-25 21:00:00+00:00
2,2026-06-03 11:44:21.216221+00:00,15,17,1.25,1.42,2027-08-27 11:44:21.216221+00:00,2027-10-26 11:44:21.216221+00:00,ImpuritiesPct,ImpuritiesPct,15000,2027-07-25 21:00:00+00:00
